,TRUE VALUE,SiO2 (wt. %),TiO2 (wt. %),Al2O3 (wt. %),Cr2O3 (wt. %),FeO (wt. %),MnO (wt. %),MgO (wt. %),CaO (wt. %),Na2O  (wt. %),IV (Al),H2O (wt. %),km_clustering_label,ap_clustering_label
1828,1,51.345,1.456,2.735,0.004,5.711,0.14,14.044,24.021,0.626,0.0973771501018532,0.0229034303386343,1,0
1829,-1,51.356,1.053,2.889,0.085,7.011,0.131,15.113,21.212,0.404,0.08840392505967,0.00231608640783906,1,6
1830,1,50.697,1.454,3.779,0.171,6.875,0.11,14.013,22.493,0.469,0.1201524111932,0.0356840620592384,1,4
1831,1,50.018,1.838,3.567,0.055,7.103,0.054,13.506,22.553,0.385,0.122311956343326,0.0169744481254305,0,4
1832,-1,49.813,1.363,5.538,0.118,8.083,0.087,14.059,19.976,0.54,0.147724229078852,0.00502730103757908,0,4
1833,1,49.135,1.696,4.959,0.778,5.641,0.01,14.883,21.803,0.381,0.170587739426628,0.0031490723662797,0,4
1834,1,51.036,1.12,3.184,0.938,6.508,0.107,14.32,22.145,0.388,0.104309709486572,0.0303910045447422,1,6
1835,1,51.304,1.237,3.113,0.808,6.39,0.11,14.346,21.848,0.345,0.0942290258349825,0.0323758186820092,1,6
1836,1,51.279,1.177,2.957,0.034,6.995,0.127,15.377,21.555,0.307,0.0992133336663621,0.00560793709063508,1,6
1837,1,49.91,1.403,3.402,0.04,8.057,0.098,14.293,21.426,0.357,0.122075332718399,0.0305251804529993,1,6
1838,1,49.424,2.623,4.269,0.001,6.854,0.098,13.202,23.874,0.35,0.16673976622059,0.013626258038297,0,1
1839,1,52.034,0.945,2.947,0.122,7.155,0.133,15.074,21.633,0.346,0.0842202544073094,0.015890926187118,1,6
1840,1,49.75,1.51,5.603,0.304,7.049,0.125,13.807,21.036,0.516,0.154209000027197,0.0160151156292413,0,4
1841,-1,50.782,1.349,3.428,0.055,6.918,0.099,14.699,21.695,0.355,0.108534138482369,1e-07,1,6
1842,-1,48.228,1.756,5.185,0.606,6.473,0.126,14.181,22.208,0.461,0.190701685750206,0.000829668962084129,0,1
1843,1,50.695,1.502,3.902,0.56,7.507,0.145,13.061,21.887,0.401,0.110003531010155,0.0162856299406304,0,4
1844,1,48.631,1.323,5.333,0.805,6.205,0.035,14.018,22.165,0.369,0.174668888466238,0.0841992563149122,0,4
1845,-1,51.805,0.838,3.133,0.112,6.834,0.136,15.194,21.169,0.383,0.0822721307908612,0.00339234473031467,1,6
1846,1,50.771,1.158,2.9,0.699,6.545,0.141,14.467,22.273,0.36,0.103491931474242,0.0238488343151083,1,6
1847,1,50.823,1.115,3.641,0.257,7.536,0.186,15.343,20.137,0.364,0.109764631298811,0.00727814795000243,1,6
1848,1,51.731,0.725,4.241,0.268,7.215,0.107,16.983,17.62,0.557,0.098747955779434,0.0252311549913807,1,2
1849,1,50.14,1.098,4.834,0.613,6.419,0.09,14.409,21.445,0.365,0.136715048656244,0.0216685828068886,0,4
1850,-1,50.208,1.406,4.559,0.197,6.782,0.102,13.765,22.016,0.427,0.130615909128579,0.00738900701008357,0,4
1851,1,51.264,1.258,3.202,0.176,6.58,0.106,15.566,21.357,0.202,0.103242030132029,0.00489168565332176,1,6
1852,1,53.148,0.679,3.088,0.777,4.639,0.044,16.662,21.974,0.277,0.0830249071340616,0.0268086593082388,1,5
1853,1,46.287,3.594,7.921,0.157,6.746,0.081,11.423,23.181,0.443,0.26645911293881,0.0566290550070522,0,7
1854,1,51.683,1.421,1.909,0.006,5.837,0.095,14.309,23.486,0.575,0.0726891464166919,0.0225669957686883,1,0
1855,1,50.592,1.386,3.832,0.006,8.006,0.128,14.106,21.618,0.441,0.120183005700699,0.014033850493653,1,6
1856,1,50.532,1.676,3.32,0.152,7.016,0.142,14.166,22.603,0.411,0.120986266792877,0.00709062059238364,1,4
1857,1,48.752,1.78,6.587,0.086,6.027,0.096,13.331,22.686,0.523,0.191604522128912,0.0466766572637518,0,1
1858,1,49.32,2.151,4.274,0.057,6.554,0.047,13.066,23.693,0.44,0.15407258445774,0.017277856135402,0,1
1859,1,51.832,1.4,2.154,0.06,7.088,0.129,13.93,22.224,0.59,0.066916743731031,0.0297098529115454,1,0
